portalDocumentType,portalNumber,mongoId,sapDocEntry,sapDocNum,status,createdAt
PR,PR-20260522-0003,6a10c3647bee9414e77d8d51,,,Failed to Create in SAP,2026-05-22T20:58:12.396Z
PR,PR-20260522-0004,6a10c82ebba74f7c8804018b,52,2600009,Created in SAP,2026-05-22T21:18:38.531Z
PR,PR-20260523-0001,6a1150df23e658b5a508f508,,,Failed to Create in SAP,2026-05-23T07:01:51.965Z
PR,PR-20260523-0002,6a11668fc5661ef1c057d099,53,2600010,Fully Ordered,2026-05-23T08:34:23.988Z
PR,PR-20260523-0003,6a1193888f3680bbac697adc,76,2600017,Fully Ordered,2026-05-23T11:46:16.181Z
PR,PR-20260525-0001,6a13e260d6053ce48e56334d,79,2600018,Fully Ordered,2026-05-25T05:47:12.702Z
PR,PR-20260525-0002,6a13e8afd6053ce48e563370,89,2600022,Fully Ordered,2026-05-25T06:14:07.624Z
PR,PR-20260525-0003,6a13e8c6d6053ce48e563393,,,Failed to Create in SAP,2026-05-25T06:14:30.437Z
PR,PR-20260531-0001,6a1c142845ed2dfc45a6a7d0,84,2600020,Fully Ordered,2026-05-31T10:57:44.685Z
PR,PR-20260531-0002,6a1c2112e6afd98e3cead087,87,2600021,Created in SAP,2026-05-31T11:52:50.734Z
PR,PR-20260531-0003,6a1c2ede572a2746c330599d,98,2600025,Fully Ordered,2026-05-31T12:51:42.806Z
PR,PR-20260531-0004,6a1c303aad8d46680c0af31e,90,2600023,Fully Ordered,2026-05-31T12:57:30.141Z
PR,PR-20260601-0001,6a1d1a41dc901533eb9a3e03,97,2600024,Partially Ordered,2026-06-01T05:36:01.616Z
PR,PR-20260602-0001,6a1e8aadebb29d47dc6321fd,100,2600026,Fully Ordered,2026-06-02T07:47:57.660Z
PR,PR-20260602-0002,6a1e8ed0ebb29d47dc63276a,101,2600027,Partially Ordered,2026-06-02T08:05:36.401Z
PR,PR-20260602-0003,6a1e97e9ebb29d47dc632b72,103,2600028,Partially Ordered,2026-06-02T08:44:25.808Z
PR,PR-20260602-0004,6a1eb7488145db752d7a9839,105,2600029,Fully Ordered,2026-06-02T10:58:16.277Z
PR,PR-20260603-0001,6a1fe0358179d647bd8e601a,107,2600030,Fully Ordered,2026-06-03T08:05:09.667Z
PR,PR-20260603-0002,6a1fe2ab8179d647bd8e6419,108,2600031,Fully Ordered,2026-06-03T08:15:39.150Z
PR,PR-20260607-0001,6a2538d3d438093adf602cf3,110,2600032,Fully Ordered,2026-06-07T09:24:35.069Z
PR,PR-20260607-0002,6a254a69d438093adf602f86,112,2600033,Fully Ordered,2026-06-07T10:39:37.709Z
PR,PR-20260611-0001,6a2a6c9a29312a8cc14187b0,34,2600009,Fully Ordered,2026-06-11T08:06:50.252Z
PR,PR-20260611-0002,6a2a70149b27fc95577140f4,20,2600001,Fully Ordered,2026-06-11T08:21:40.367Z
PR,PR-20260611-0003,6a2aac126ca01e0d17a5834f,22,2600002,Fully Ordered,2026-06-11T12:37:38.489Z
PR,PR-20260616-0001,6a30fb3286c780605f1045cc,24,2600003,Fully Ordered,2026-06-16T07:28:50.330Z
PR,PR-20260616-0002,6a30ff62bb184f05200523a0,,,Rejected,2026-06-16T07:46:42.605Z
PR,PR-20260616-0003,6a312d62bb184f05200526a8,26,2600004,Fully Ordered,2026-06-16T11:02:58.436Z
PR,PR-20260618-0001,6a33d5a02f3e2566836cf01c,28,2600005,Fully Ordered,2026-06-18T11:25:20.047Z
PR,PR-20260618-0002,6a33e3cc4f4eb174c8c7267e,29,2600006,Fully Ordered,2026-06-18T12:25:48.770Z
